Day,Weight,Lean mass,Fat mass,Calories burned,Calories eaten
0,61.85,52.3870,9.4631,,
1,61.45,52.2325,9.2175,2192,933
2,61.45,52.1711,9.2790,1961,1051
3,60.70,51.7164,8.9836,2276,1175
4,60.70,51.7771,8.9229,2320,1600
5,60.90,51.7650,9.1350,2304,1400
6,61.10,52.0572,9.0428,2260,1200
7,60.75,51.7590,8.9910,2211,1143
8,61.30,52.1663,9.1337,2235,1500
9,61.05,52.0146,9.0354,2043,1200
10,61.40,52.1900,9.2100,1908,1300
11,61.40,52.2514,9.1486,2212,1200
12,61.10,52.1183,8.9817,2498,1035
13,61.10,52.1794,8.9206,2481,1313
14,61.10,52.1794,8.9206,2384,1179
15,61.25,52.3075,8.9425,2148,1165
16,61.00,52.2160,8.7840,1843,920
17,61.15,52.2833,8.8668,2194,1041
18,61.05,52.1978,8.8523,2432,1205
19,60.80,51.9232,8.8768,2096,1291
20,61.10,52.1183,8.9817,2293,1040
21,60.85,51.9051,8.9450,2112,1100
22,60.85,51.8442,9.0058,2296,1112
23,60.75,51.8198,8.9303,2225,851
24,60.75,51.8805,8.8695,2638,1211
25,60.75,51.8805,8.8695,2280,1049
26,60.05,51.5830,8.4671,2386,844
27,60.25,51.6945,8.5555,2758,1224
28,60.70,51.8378,8.8622,1998,1016
29,61.40,52.3742,9.0258,2091,2299
30,61.30,52.2889,9.0111,2116,1012
31,60.95,51.9294,9.0206,2180,926
32,60.55,51.6492,8.9009,2314,990
33,60.55,51.7097,8.8403,2664,1016
34,60.55,51.7703,8.7798,2293,1034
35,60.40,51.8232,8.5768,1920,1045
36,60.75,51.8805,8.8695,2150,1086
37,60.85,51.9051,8.9450,2191,962
38,60.55,51.7703,8.7798,1777,1128
39,60.80,51.8624,8.9376,2485,1206
40,60.35,51.7200,8.6301,2404,1386
41,60.75,51.9413,8.8088,2538,1245
42,60.85,51.9659,8.8841,2261,1052
43,60.35,51.7803,8.5697,2673,911
44,59.65,51.5376,8.1124,2776,1014
45,59.65,51.4183,8.2317,3049,1050
46,60.15,51.6689,8.4812,2128,962
47,60.15,51.7290,8.4210,2445,955
48,60.15,51.6689,8.4812,2126,1075
49,59.95,51.5570,8.3930,1844,831
50,59.85,51.5309,8.3192,1900,807
51,59.75,51.5643,8.1858,1970,765
52,59.55,51.4512,8.0988,1935,768
53,59.75,51.4448,8.3053,1968,647
54,59.75,51.3850,8.3650,1684,864
55,60.05,51.6430,8.4070,2046,670
56,59.65,51.5376,8.1124,2090,655
57,59.50,51.4675,8.0325,2110,650
58,59.70,51.5211,8.1789,2069,803
59,59.70,51.5808,8.1192,1963,723
60,59.55,51.5703,7.9797,2098,760
61,59.45,51.5432,7.9069,2281,676
62,59.05,51.3145,7.7356,2745,772
63,59.05,51.3145,7.7356,2293,831
64,59.05,51.3145,7.7356,2508,852
65,58.60,51.0406,7.5594,2515,836
66,59.10,51.4170,7.6830,2346,758
67,58.95,51.3455,7.6046,2740,1180
68,58.85,51.2584,7.5917,1878,845
69,58.65,51.0842,7.5659,2351,736
70,58.55,51.0556,7.4944,3050,806
71,58.55,51.1142,7.4359,3012,1185
72,58.70,51.1277,7.5723,1937,769
73,58.50,51.1290,7.3710,2423,749
74,58.50,51.1875,7.3125,2306,651
75,58.05,51.0260,7.0241,2574,976
76,57.85,50.8502,6.9999,2161,675
77,58.00,50.8660,7.1340,2200,739
78,58.45,51.0853,7.3647,2395,832
79,58.00,50.9240,7.0760,2473,754
80,58.00,50.9820,7.0180,2100,619
81,57.55,50.7016,6.8485,2407,587
82,57.65,50.8473,6.8027,2211,651
83,57.65,50.8473,6.8027,2100,791
84,57.45,50.7284,6.7217,2201,753
85,57.45,50.7858,6.6642,2200,676
86,57.65,50.7897,6.8604,2632,717
87,57.50,50.7150,6.7850,2827,755
88,57.65,50.7897,6.8604,2202,726
89,57.65,50.8473,6.8027,1951,689
90,57.10,50.5335,6.5665,2010,729
91,57.30,50.6532,6.6468,2235,628
92,56.75,50.3940,6.3560,1893,575
93,57.10,50.5906,6.5094,1834,642
94,57.10,50.5906,6.5094,2133,706
95,57.40,50.6842,6.7158,2134,666
96,56.80,50.5520,6.2480,2138,729
97,57.00,50.6160,6.3840,2173,575
98,57.00,50.6160,6.3840,2228,749
99,57.35,50.7548,6.5953,1904,732
100,57.35,50.6974,6.6526,1954,700
101,57.20,50.6792,6.5208,1932,692
102,57.30,50.7105,6.5895,2214,670
103,57.30,50.7105,6.5895,2439,691
104,57.55,50.8742,6.6758,2169,669
105,57.45,50.8433,6.6068,1905,623
106,57.80,51.0374,6.7626,2011,933
107,57.10,50.7048,6.3952,2445,1027
108,57.10,50.6477,6.4523,2817,1084
109,57.00,50.6730,6.3270,2882,692
110,57.15,50.7492,6.4008,1949,943
111,57.05,50.7745,6.2755,2648,1865
112,57.35,50.9268,6.4232,2465,1282
113,57.00,50.7300,6.2700,2518,1079
114,56.55,50.6123,5.9378,3004,972
115,56.70,50.7465,5.9535,2182,821
116,56.70,50.7465,5.9535,2265,724
117,56.45,50.6357,5.8144,2026,671
118,57.20,50.9080,6.2920,2409,787
119,57.00,50.9010,6.0990,2094,713
120,57.10,50.8761,6.2239,2398,734
121,56.70,50.6331,6.0669,2362,760
122,56.40,50.5344,5.8656,2887,726
123,56.10,50.4339,5.6661,2437,749
124,55.45,50.1268,5.3232,3096,659
125,55.65,50.1963,5.4537,2719,855